title,organization,location,date,time,duration,datetime_iso,distance,opportunity_type,opportunity_url,opportunity_id,organization_url,scraped_at
American Red Cross - Disaster Action Team Volunteer,American Red Cross Los Angeles Region,"Santa Monica, CA 90401",Ongoing,,,2024-01-04T00:01:00Z,16 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00000ufyjQMAQ,a0CQg00000ufyjQMAQ,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:26.501146
"Red Cross: Local Disaster Response Volunteer - Santa Monica, West Los Angeles",American Red Cross Los Angeles Region,"Santa Monica, CA 90401",Ongoing,,,2024-01-24T00:01:00Z,16 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg000019MRbAMAW,a0CQg000019MRbAMAW,https://volunteer.laworks.com/organization/001A000000a9b0aIAA,2026-02-11T17:58:26.515765
CareerSpring Advisors - Multiple Virtual Options,CareerSpring,"Santa Monica, CA 90402",Ongoing,,,2024-09-26T00:01:00Z,16 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00003ZItOZMA1,a0CQg00003ZItOZMA1,https://volunteer.laworks.com/organization/001Qg00000HQGk9IAH,2026-02-11T17:58:26.529713
Support Women Through Mentoring,Harvest Home,"Santa Monica, CA 90403",3/21/26,10:30 AM,1.5 hours,2026-03-21T10:30:00Z,17 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B6t7HWMQY,a0CQg0000B6t7HWMQY,https://volunteer.laworks.com/organization/0011N00001L3dBpQAJ,2026-02-11T17:58:26.546085
Fight Food Waste at the Encino Farmers Market on Sundays!,Food Forward,"Los Angeles, CA 91406",Ongoing,,,2023-05-14T00:01:00Z,17 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000tWGW2EAO,a0C3l00000tWGW2EAO,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:26.561156
Harvest Fruit and Fight Hunger in West Los Angeles!,Food Forward,"Santa Monica, CA 90401",Ongoing,,,2024-02-22T00:01:00Z,17 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00001O2Gw4MAF,a0CQg00001O2Gw4MAF,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:26.574932
Fight Food Waste at the Santa Monica Farmers Market on Wednesdays!,Food Forward,"Santa Monica, CA 90401",Ongoing,,,2024-02-23T00:01:00Z,17 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00001Oh2S0MAJ,a0CQg00001Oh2S0MAJ,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:26.587871
March 2026 Community Garden Day at Annalee Elementary,Garden School Foundation,"Carson, CA 90746",3/7/26,9:00 AM,3 hours,2026-03-07T09:00:00Z,18 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000B3uLwuMQE,a0CQg0000B3uLwuMQE,https://volunteer.laworks.com/organization/001A000000qjVDoIAM,2026-02-11T17:58:26.602824
Palisades Resource Fair to Help Fire-Impacted Individuals,L.A. Works - Disaster Recovery,"Los Angeles, CA 90272",4/10/26,12:00 PM,3 hours,2026-04-10T12:00:00Z,18 miles,Special Event,https://volunteer.laworks.com/opportunity/a0CQg00009J319hMAB,a0CQg00009J319hMAB,https://volunteer.laworks.com/organization/001Qg00000QgVmrIAF,2026-02-11T17:58:26.617985
PTSD Mental Health Program for Disaster Survivors,National Emergency Child Care Network,"Los Angeles, CA 90001",Ongoing,,,2025-11-11T00:01:00Z,19 miles,Special Event,https://volunteer.laworks.com/opportunity/a0CQg00009eJkyQMAS,a0CQg00009eJkyQMAS,https://volunteer.laworks.com/organization/001Qg00000Nf5JWIAZ,2026-02-11T17:58:26.631316
Urban Farm Workday at S.O.W Collective's Reseda Garden,Shift Our Ways Collective,"Los Angeles, CA 91335",2/12/26,2:00 PM,3 hours,2026-02-12T14:00:00Z,20 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00009OrXRsMAN,a0CQg00009OrXRsMAN,https://volunteer.laworks.com/organization/001Qg00000FJKIZIA5,2026-02-11T17:58:26.646412
Fight Hunger & Food Waste at the Torrance Farmers Market on Tuesdays!,Food Forward,"Torrance, CA 90501",Ongoing,,,2022-03-30T00:01:00Z,20 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0C3l00000ojWz6EAE,a0C3l00000ojWz6EAE,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:26.661302
Fight Food Waste at the Torrance Farmers Market on Saturdays!,Food Forward,"Torrance, CA 90501",Ongoing,,,2024-02-23T00:01:00Z,20 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg00001OgmIcMAJ,a0CQg00001OgmIcMAJ,https://volunteer.laworks.com/organization/001A000000ixpvaIAA,2026-02-11T17:58:26.674150
Parent Committee Volunteer,5-Eleven Hoops,"Long Beach, CA 90807",Ongoing,,,2026-01-28T00:01:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000Avi6v1MQA,a0CQg0000Avi6v1MQA,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:26.687520
Content Creator (Volunteer),5-Eleven Hoops,"Long Beach, CA 90807",Ongoing,,,2026-01-28T00:01:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000Avhp6ZMQQ,a0CQg0000Avhp6ZMQQ,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:26.700742
Assistant Adult Basketball Coach in Long Beach,5-Eleven Hoops,"Long Beach, CA 90807",2/17/26,1:30 PM,2 hours,2026-02-17T13:30:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000AaG6PiMQK,a0CQg0000AaG6PiMQK,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:26.715969
Youth Basketball Evening Program Volunteer – Long Beach,5-Eleven Hoops,"Long Beach, CA 90807",2/17/26,5:00 PM,2 hours,2026-02-17T17:00:00Z,21 miles,Volunteer Opportunity,https://volunteer.laworks.com/opportunity/a0CQg0000Amsq5wMQA,a0CQg0000Amsq5wMQA,https://volunteer.laworks.com/organization/0013l00002MQHwlAAH,2026-02-11T17:58:26.731708
